time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,193,124,1520.5,886.5,6.232281993645656e-05,0.00010924725119819566
2021-01-02 16:15:00,206,136,1389.0,791.5,6.821151397110877e-05,0.0001233888008332373
2021-01-02 16:30:00,207,127,1371.0,829.0,6.926102170379436e-05,0.00011654658697449648
2021-01-02 16:45:00,208,121,1398.0,896.5,6.857604803488411e-05,0.00010947937580469605
2021-01-02 17:00:00,204,114,1410.0,948.5,6.765300772338676e-05,0.00010248840038082532
2021-01-02 17:15:00,210,124,1316.5,838.5,7.14718678219697e-05,0.00011650160706450713
2021-01-02 17:30:00,202,122,1428.0,836.0,6.829975205837532e-05,0.000115875845679968
2021-01-02 17:45:00,190,106,1529.5,961.0,6.357815160243711e-05,0.00010151409226290236
2021-01-02 18:00:00,190,124,1515.5,847.0,6.364788116203611e-05,0.00011553024656390686
2021-01-02 18:15:00,185,115,1527.5,887.0,6.225901973341697e-05,0.00011009557253048452
2021-01-02 18:30:00,206,123,1357.5,821.0,7.098335026940938e-05,0.00011900258419432833
2021-01-02 18:45:00,220,116,1286.0,862.0,7.586520821551237e-05,0.00011325813383791785
2021-01-02 19:00:00,211,121,1400.5,877.0,7.066749636782466e-05,0.00011143703117013488
2021-01-02 19:15:00,205,113,1415.5,879.5,6.938826627493324e-05,0.00010966614906832298
2021-01-02 19:30:00,174,111,1603.0,865.5,6.01761501166691e-05,0.00011093355080306897
2021-01-02 19:45:00,181,122,1502.5,791.0,6.352910124222208e-05,0.00012365374518814626
2021-01-02 20:00:00,197,132,1410.0,742.0,6.864307621332734e-05,0.00013212697402203522
2021-01-02 20:15:00,166,110,1632.5,852.5,5.859827283355833e-05,0.00011267478676296604
2021-01-02 20:30:00,162,90,1669.5,1018.5,5.7300772817645236e-05,9.321527446201841e-05
2021-01-02 20:45:00,187,120,1433.5,784.0,6.588931370466014e-05,0.00012552366905684654
2021-01-02 21:00:00,167,102,1623.5,904.5,5.8130205394552685e-05,0.00010444709089252087
2021-01-02 21:15:00,146,90,1870.0,1028.5,5.098155201113493e-05,9.350833938540086e-05
2021-01-02 21:30:00,162,102,1723.5,882.0,5.59601149462213e-05,0.00010673430691763879
2021-01-02 21:45:00,166,107,1693.0,842.5,5.762624312997981e-05,0.00011352664693212805
2021-01-02 22:00:00,171,101,1697.5,912.5,5.787097750172682e-05,0.00010489790110724407
2021-01-02 22:15:00,173,99,1621.5,900.0,5.9463392719962144e-05,0.00010493902406707618
2021-01-02 22:30:00,185,101,1536.0,873.5,6.315480437372625e-05,0.00010887762263015996
2021-01-02 22:45:00,175,94,1592.0,922.0,6.083437649804652e-05,0.00010350336881443498
2021-01-02 23:00:00,174,109,1591.5,821.5,6.120362198813987e-05,0.00012042029999016753
2021-01-02 23:15:00,181,113,1531.5,776.5,6.43266457314828e-05,0.00012727002419256743
2021-01-02 23:30:00,169,101,1607.5,857.5,6.0281317571255006e-05,0.00011367409299891392
2021-01-02 23:45:00,187,106,1415.5,800.0,6.859248945252923e-05,0.00012278509018333203
2021-01-03 00:00:00,136,80,1913.5,1033.5,4.968905974780611e-05,9.2908848290303e-05
2021-01-03 00:15:00,167,94,1544.0,866.0,6.219625787089921e-05,0.000112839855036799
2021-01-03 00:30:00,129,78,1941.0,1012.0,4.912977458573888e-05,9.565786859552174e-05
2021-01-03 00:45:00,114,67,2174.5,1162.5,4.293356783597871e-05,7.950380134966603e-05
2021-01-03 01:00:00,136,77,1775.5,1044.5,5.307613263881653e-05,9.08413084923646e-05
2021-01-03 01:15:00,133,67,1745.0,1111.5,5.3934676590647165e-05,8.535651633303309e-05
2021-01-03 01:30:00,132,82,1693.0,913.0,5.528464682534198e-05,0.00010656311850468552
2021-01-03 01:45:00,150,85,1481.0,849.5,6.52089424935378e-05,0.00011579687321196003
2021-01-03 02:00:00,121,48,1823.5,1422.5,5.23616850942294e-05,6.636094547757069e-05
2021-01-03 02:15:00,111,46,1902.5,1439.0,4.995463579020133e-05,6.662842774291856e-05
2021-01-03 02:30:00,92,54,2168.0,1193.5,4.2728334180159376e-05,8.090020959146892e-05
2021-01-03 02:45:00,111,65,1820.5,989.5,5.213578224339802e-05,9.950355380769484e-05
2021-01-03 03:00:00,112,56,1896.0,1248.5,5.031412636482683e-05,7.691441348639302e-05
2021-01-03 03:15:00,124,61,1647.0,1060.0,5.7227009856429433e-05,9.246739387471729e-05
2021-01-03 03:30:00,83,34,2375.5,1746.0,3.862013514255483e-05,5.223921874711916e-05
2021-01-03 03:45:00,114,41,1742.0,1448.5,5.4143394505870286e-05,6.450922639276993e-05
2021-01-03 04:00:00,86,40,2357.5,1591.0,3.9881561038497296e-05,5.956591340605338e-05
2021-01-03 04:15:00,110,30,1797.0,1950.5,5.246184354733632e-05,4.692654587773758e-05
2021-01-03 04:30:00,98,38,2067.5,1644.0,4.546009091090426e-05,5.73314906791066e-05
2021-01-03 04:45:00,79,30,2563.0,2035.0,3.5733283155963566e-05,4.4713787049098715e-05
2021-01-03 05:00:00,96,44,2194.5,1540.0,4.2655216110875124e-05,6.250834628487326e-05
2021-01-03 05:15:00,86,36,2426.5,1776.5,3.8473927203750765e-05,5.286918108575674e-05
2021-01-03 05:30:00,103,47,2079.5,1425.5,4.609326053879889e-05,6.771368349471762e-05
2021-01-03 05:45:00,101,44,2073.0,1443.0,4.564517878448245e-05,6.56348079286848e-05
2021-01-03 06:00:00,95,42,2243.0,1610.0,4.162885379113971e-05,5.7309405292114224e-05
2021-01-03 06:15:00,118,49,1796.0,1360.0,5.242864594579945e-05,7.126153273376691e-05
2021-01-03 06:30:00,113,56,1925.5,1241.0,4.916487156873793e-05,7.734731846515296e-05
2021-01-03 06:45:00,112,49,1923.5,1397.0,4.864396267618235e-05,6.869720654726438e-05
2021-01-03 07:00:00,124,49,1864.0,1531.0,5.027811093784085e-05,6.085663790673037e-05
2021-01-03 07:15:00,138,56,1667.5,1290.5,5.577075793672444e-05,7.285794392280179e-05
2021-01-03 07:30:00,153,53,1610.0,1442.5,5.896594543222039e-05,6.397813637724407e-05
2021-01-03 07:45:00,132,42,1952.5,1814.0,4.887028198152704e-05,5.0450571653024986e-05
2021-01-03 08:00:00,147,61,1889.5,1423.5,5.083873538126976e-05,6.661999626491168e-05
2021-01-03 08:15:00,176,68,1619.5,1261.0,5.923871519304754e-05,7.636142310741581e-05
2021-01-03 08:30:00,189,65,1568.0,1397.5,6.142400339554491e-05,6.866064213545159e-05
2021-01-03 08:45:00,183,70,1613.5,1321.5,5.9299545985825794e-05,7.332822130876209e-05
2021-01-03 09:00:00,204,64,1598.0,1535.0,6.114178690468805e-05,5.856938779432262e-05
2021-01-03 09:15:00,224,88,1519.0,1142.0,6.311388110922646e-05,8.407471949616314e-05
2021-01-03 09:30:00,247,86,1413.0,1179.0,6.870598262211515e-05,8.150206408715792e-05
2021-01-03 09:45:00,240,91,1423.5,1122.5,6.621657787207508e-05,8.421964483372636e-05
2021-01-03 10:00:00,263,80,1450.0,1410.5,6.562337968889029e-05,6.629277541333545e-05
2021-01-03 10:15:00,392,86,1044.0,1282.5,9.855151893785598e-05,7.184502193361687e-05
2021-01-03 10:30:00,447,115,908.0,1058.0,0.00011263122671784038,9.257015811787963e-05
2021-01-03 10:45:00,389,108,985.0,1057.5,0.00010094069461729204,9.046552049085922e-05
2021-01-03 11:00:00,455,114,816.0,1074.0,0.00011845885806702219,9.039476344721224e-05
2021-01-03 11:15:00,426,115,861.5,1017.0,0.00011248674121949886,9.452044436115686e-05
2021-01-03 11:30:00,592,156,600.5,784.5,0.00015874237426571596,0.0001272481526586299
2021-01-03 11:45:00,645,146,578.0,886.5,0.00016905253523762494,0.00011385107499588655
2021-01-03 12:00:00,671,136,543.5,997.0,0.0001745598412467995,9.857794072131507e-05
