time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2048,927,151.0,138.0,0.000661332306890482,0.0008167113053284466
2021-01-02 16:15:00,2123,908,143.0,139.0,0.000702975942527495,0.0008238016996807315
2021-01-02 16:30:00,1894,865,155.0,139.5,0.0006337216188743312,0.0007938015569522793
2021-01-02 16:45:00,1985,920,153.0,136.0,0.0006544396891790622,0.0008324051714076062
2021-01-02 17:00:00,1968,917,150.0,136.5,0.0006526525450962017,0.0008244023083264633
2021-01-02 17:15:00,1870,880,155.0,138.0,0.000636439965843254,0.0008267855985223088
2021-01-02 17:30:00,1888,893,159.0,134.0,0.0006383659994366961,0.0008481731982968151
2021-01-02 17:45:00,1893,900,159.0,129.0,0.0006334391630705971,0.0008619121041189823
2021-01-02 18:00:00,1912,910,158.0,132.5,0.0006404986777990161,0.0008478429384931875
2021-01-02 18:15:00,1823,848,172.0,140.0,0.0006135037458055089,0.0008118351783117468
2021-01-02 18:30:00,1867,912,156.0,130.0,0.0006433296842378026,0.0008823606242701418
2021-01-02 18:45:00,1860,852,156.0,134.0,0.0006414058512766046,0.0008318614657750518
2021-01-02 19:00:00,1851,909,160.0,134.0,0.0006199314491793528,0.0008371591845756412
2021-01-02 19:15:00,1748,859,167.0,132.0,0.0005916618997491867,0.0008336568322981368
2021-01-02 19:30:00,1679,808,171.0,137.0,0.0005806652646315369,0.0008075162977376553
2021-01-02 19:45:00,1707,802,163.0,134.5,0.0005991390929307905,0.0008128713413187976
2021-01-02 20:00:00,1802,771,153.0,144.0,0.0006278925042457659,0.0007717416437196147
2021-01-02 20:15:00,1897,845,147.0,124.0,0.0006696441178630128,0.0008655472255882392
2021-01-02 20:30:00,1702,814,163.0,134.0,0.000602011823059458,0.0008430803712453664
2021-01-02 20:45:00,1799,809,153.0,132.5,0.0006338763387950994,0.0008462387355582402
2021-01-02 21:00:00,1726,773,160.0,137.0,0.0006007948174311253,0.0007915451103913593
2021-01-02 21:15:00,1716,776,160.0,140.0,0.0005992078304870379,0.0008062496818119008
2021-01-02 21:30:00,1796,786,158.0,137.0,0.0006203973237247744,0.0008224820121300402
2021-01-02 21:45:00,1752,755,160.0,134.5,0.0006081998672513532,0.0008010525087266977
2021-01-02 22:00:00,1783,762,162.0,136.0,0.0006034149291554322,0.0007914079271655446
2021-01-02 22:15:00,1771,761,161.0,146.5,0.0006087264075552194,0.0008066524981317673
2021-01-02 22:30:00,1728,720,164.0,148.5,0.0005899000105826969,0.0007761573098387642
2021-01-02 22:45:00,1719,688,162.0,143.5,0.000597567389715097,0.0007575565717482049
2021-01-02 23:00:00,1662,734,167.0,131.5,0.0005846001134729221,0.0008109036714934216
2021-01-02 23:15:00,1771,725,154.5,133.0,0.0006294060198367737,0.000816555464952313
2021-01-02 23:30:00,1737,726,158.5,133.0,0.0006195778024927215,0.0008171028863090248
