time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,474,150,655.0,730.5,0.00015306226243461352,0.00013215393290104313
2021-01-02 16:15:00,513,156,589.5,702.5,0.0001698665372193146,0.0001415342127204781
2021-01-02 16:30:00,455,151,658.5,714.5,0.00015224041002524847,0.00013857113884369269
2021-01-02 16:45:00,510,140,607.5,776.5,0.00016814319470091776,0.00012667035217072268
2021-01-02 17:00:00,508,119,599.5,901.5,0.00016846925452686503,0.00010698350566068608
2021-01-02 17:15:00,517,127,563.0,820.0,0.0001759569317331349,0.00011932019433219682
2021-01-02 17:30:00,462,145,634.0,723.0,0.0001562103240147,0.00013772129199668328
2021-01-02 17:45:00,503,139,615.5,737.5,0.00016831479082118878,0.00013311753608059838
2021-01-02 18:00:00,457,118,648.5,897.0,0.0001530899036371079,0.00010994007334307266
2021-01-02 18:15:00,480,157,624.0,666.5,0.00016153691606508188,0.00015030439032422666
2021-01-02 18:30:00,454,142,642.0,714.0,0.00015643903408889254,0.00013738509719995627
2021-01-02 18:45:00,409,125,707.0,788.0,0.000141040318909748,0.00012204540284258389
2021-01-02 19:00:00,424,136,712.5,789.0,0.00014200482682444386,0.00012525153916643258
2021-01-02 19:15:00,448,132,675.0,774.5,0.00015163874776180533,0.0001281055900621118
2021-01-02 19:30:00,416,133,708.5,736.5,0.00014386941637088704,0.00013292038069196552
2021-01-02 19:45:00,348,102,833.0,925.0,0.00012214434934968666,0.00010338263941959771
2021-01-02 20:00:00,423,131,685.5,750.5,0.00014739097075247443,0.00013112601209762584
2021-01-02 20:15:00,429,129,665.5,756.0,0.0001514377050939549,0.00013213679538566018
2021-01-02 20:30:00,402,113,704.5,829.5,0.0001421908066215641,0.0001170369557134231
2021-01-02 20:45:00,393,123,724.5,765.5,0.0001384732635611307,0.0001286617607832677
2021-01-02 21:00:00,394,135,718.5,722.5,0.0001371455145236752,0.00013823879676951292
2021-01-02 21:15:00,389,117,730.0,801.5,0.00013583440912555813,0.00012156084120102112
2021-01-02 21:30:00,374,113,758.0,801.5,0.000129191870307943,0.00011824486942836455
2021-01-02 21:45:00,373,121,755.0,754.5,0.0001294854740209787,0.0001283806007363317
2021-01-02 22:00:00,354,128,840.0,746.0,0.000119803076231645,0.00013293991427452715
2021-01-02 22:15:00,365,109,781.0,827.0,0.0001254574470681282,0.00011553892548799297
2021-01-02 22:30:00,345,121,837.5,741.5,0.00011777517572397596,0.00013043754790345897
2021-01-02 22:45:00,343,134,817.0,691.5,0.00011923537793617119,0.00014754735554398178
2021-01-02 23:00:00,326,103,857.0,861.0,0.0001146688549892735,0.00011379165962373628
2021-01-02 23:15:00,346,132,791.0,684.0,0.00012296695813863564,0.00014866940879131767
2021-01-02 23:30:00,367,101,745.5,857.5,0.00013090676656006268,0.00011367409299891392
2021-01-02 23:45:00,376,101,709.5,841.5,0.00013791858841791973,0.0001169933406463824
2021-01-03 00:00:00,330,111,840.0,767.5,0.00012056904203511775,0.0001289110270027954
2021-01-03 00:15:00,377,101,693.5,819.0,0.00014040712106185027,0.0001212428229650713
2021-01-03 00:30:00,317,91,820.5,874.5,0.00012072975615255214,0.00011160084669477537
2021-01-03 00:45:00,290,70,907.0,1113.0,0.00010921697081082304,8.306367305188987e-05
2021-01-03 01:00:00,334,120,747.0,688.5,0.0001303487375100347,0.00014157087037771108
2021-01-03 01:15:00,296,83,809.0,916.0,0.00012003506970550044,0.00010574016202450368
2021-01-03 01:30:00,316,89,747.5,854.0,0.00013234809391521262,0.00011565997008435381
2021-01-03 01:45:00,315,84,714.5,863.5,0.00013693877923642937,0.00011443455705652524
2021-01-03 02:00:00,281,85,826.5,843.5,0.00012160027695436743,0.00011751417428319809
2021-01-03 02:15:00,288,87,752.0,791.0,0.00012961202799619808,0.00012601463507899813
2021-01-03 02:30:00,286,86,739.0,769.5,0.00013282938669049546,0.0001288410745345616
2021-01-03 02:45:00,276,88,749.5,747.0,0.00012963491801061127,0.00013471250361657148
2021-01-03 03:00:00,273,80,792.5,897.0,0.0001226406830142654,0.00010987773355199002
2021-01-03 03:15:00,253,75,831.0,874.5,0.00011676156043287618,0.0001136894186984229
2021-01-03 03:30:00,294,87,709.0,737.5,0.0001367990329145918,0.00013367094208821667
2021-01-03 03:45:00,271,77,740.0,814.0,0.00012870929746570915,0.00012115147395715327
2021-01-03 04:00:00,256,79,806.0,858.0,0.0001187172049518059,0.00011764267897695544
2021-01-03 04:15:00,243,75,829.5,850.0,0.00011589298165457023,0.00011731636469434395
2021-01-03 04:30:00,286,102,701.0,664.0,0.0001326692449032512,0.0001538897907702335
2021-01-03 04:45:00,281,74,747.5,931.0,0.00012710193122564257,0.0001102940080544435
2021-01-03 05:00:00,272,88,790.5,777.0,0.00012085644564747951,0.00012501669256974652
2021-01-03 05:15:00,291,93,728.5,748.5,0.00013018503274757524,0.00013657871780487158
2021-01-03 05:30:00,240,66,873.0,1048.5,0.00010740177212924013,9.508730022662475e-05
2021-01-03 05:45:00,257,71,804.0,925.5,0.00011614664304566326,0.0001059107127940141
2021-01-03 06:00:00,255,77,831.0,913.5,0.00011174060754463818,0.00010506724303554274
2021-01-03 06:15:00,279,85,746.0,787.0,0.0001239626459226953,0.00012361694453816708
2021-01-03 06:30:00,274,78,793.5,932.0,0.00011921393637021409,0.00010773376500503448
2021-01-03 06:45:00,281,72,777.0,971.5,0.00012204422778577893,0.00010094283411026604
2021-01-03 07:00:00,269,87,883.0,900.5,0.000109071063244187,0.00010805158158950088
2021-01-03 07:15:00,293,93,792.5,793.0,0.00011841182663377,0.00012099622830036729
2021-01-03 07:30:00,280,84,889.0,967.0,0.00010791153412432488,0.00010139931048468872
2021-01-03 07:45:00,313,105,830.0,769.5,0.00011588180500165122,0.00012612642913256247
2021-01-03 08:00:00,335,107,837.0,841.5,0.00011585698199132906,0.00011685802623517295
2021-01-03 08:15:00,372,110,790.5,811.0,0.00012520910256712316,0.0001235258314972903
2021-01-03 08:30:00,364,103,828.5,928.0,0.00011829808061364203,0.00010880070984540792
2021-01-03 08:45:00,329,88,916.0,1049.5,0.00010660956628052832,9.218404964530092e-05
2021-01-03 09:00:00,403,117,820.5,887.5,0.00012078500060092783,0.00010707216206149604
