time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,429,154,716.5,713.5,0.00013853103498828943,0.0001356780377784043
2021-01-02 16:15:00,420,168,725.0,655.0,0.00013907201877604705,0.00015242145985282257
2021-01-02 16:30:00,344,169,863.0,635.0,0.00011510044186524279,0.00015508955274558982
2021-01-02 16:45:00,405,172,750.5,641.5,0.00013352547814484642,0.00015562357552403072
2021-01-02 17:00:00,405,150,743.5,730.0,0.00013431111827437076,0.00013485315839582282
2021-01-02 17:15:00,415,199,701.0,538.0,0.00014124202450532106,0.0001869662887567493
2021-01-02 17:30:00,363,160,825.5,644.0,0.00012273668315440715,0.00015196832220323674
2021-01-02 17:45:00,400,177,760.0,587.5,0.0001338487402156571,0.00016950938047673316
2021-01-02 18:00:00,361,161,826.0,651.5,0.0001209309742078686,0.00015000298142571779
2021-01-02 18:15:00,390,182,761.0,579.5,0.00013124874430287903,0.00017423821043954942
2021-01-02 18:30:00,375,172,782.5,618.5,0.0001292172638399443,0.0001664101177351583
2021-01-02 18:45:00,404,165,716.5,632.0,0.00013931610963212272,0.00016109993175221073
2021-01-02 19:00:00,398,185,767.5,612.5,0.00013329698367011474,0.00017037893195433846
2021-01-02 19:15:00,395,158,768.5,652.5,0.00013369934233462745,0.0001533385093167702
2021-01-02 19:30:00,337,152,880.0,660.0,0.00011654806085814648,0.00015190900650510343
2021-01-02 19:45:00,391,141,721.5,700.0,0.0001372368982635847,0.00014291129566826744
2021-01-02 20:00:00,465,157,634.0,652.5,0.00016202553522435138,0.00015715102213226912
2021-01-02 20:15:00,509,140,568.0,701.0,0.0001796778365800071,0.0001434042740619568
2021-01-02 20:30:00,500,149,571.0,655.0,0.00017685423709149766,0.00015432306549823048
2021-01-02 20:45:00,477,147,577.5,648.0,0.00016807060233755557,0.000153766494594637
2021-01-02 21:00:00,470,166,604.0,604.0,0.00016359997925413032,0.0001699825204721418
2021-01-02 21:15:00,397,145,712.0,665.0,0.00013862791882479842,0.00015065232456536805
2021-01-02 21:30:00,461,144,614.5,660.5,0.00015924452463091367,0.00015068372741313708
2021-01-02 21:45:00,445,157,624.0,602.5,0.0001544799891135001,0.00016657648194714114
2021-01-02 22:00:00,433,127,673.5,752.5,0.00014653879098390477,0.00013190132119425739
2021-01-02 22:15:00,443,141,658.5,674.0,0.00015226753164707067,0.00014945861003492667
2021-01-02 22:30:00,455,140,634.5,668.0,0.00015532668102727264,0.00015091947691309298
2021-01-02 22:45:00,402,125,706.0,736.0,0.0001397452534412269,0.00013763745852983376
2021-01-02 23:00:00,393,135,703.5,675.5,0.00013823576690424693,0.00014914440824470292
2021-01-02 23:15:00,323,99,860.0,882.5,0.00011479285398491133,0.00011150205659348828
2021-01-02 23:30:00,379,136,719.5,666.0,0.00013518709680180859,0.0001530661054242801
2021-01-02 23:45:00,394,129,679.5,669.0,0.0001445210740336712,0.0001494271380533003
