time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,266,115,1132.5,957.5,8.589570001604893e-05,0.00010131801522413308
2021-01-02 16:15:00,255,89,1155.5,1167.5,8.443658282831427e-05,8.074708289822148e-05
2021-01-02 16:30:00,258,95,1131.0,1108.0,8.632533139893211e-05,8.718051781556823e-05
2021-01-02 16:45:00,276,92,1077.0,1151.5,9.099514066167315e-05,8.324051714076062e-05
2021-01-02 17:00:00,233,80,1248.5,1285.0,7.727034705661329e-05,7.192168447777216e-05
2021-01-02 17:15:00,234,84,1210.0,1213.0,7.964008128733766e-05,7.892044349531129e-05
2021-01-02 17:30:00,243,82,1198.0,1217.0,8.216257302071884e-05,7.788376512915883e-05
2021-01-02 17:45:00,239,84,1243.5,1189.5,7.997462227885512e-05,8.044512971777167e-05
2021-01-02 18:00:00,225,92,1282.0,1112.0,7.537249084977961e-05,8.571598938612445e-05
2021-01-02 18:15:00,242,81,1185.0,1222.0,8.144152851614545e-05,7.754557717364559e-05
2021-01-02 18:30:00,234,71,1200.5,1350.0,8.063157263612523e-05,6.869254859997812e-05
2021-01-02 18:45:00,190,62,1468.0,1503.5,6.551995254976067e-05,6.053451980992161e-05
2021-01-02 19:00:00,220,74,1343.5,1379.5,7.368174976740012e-05,6.815157278173538e-05
2021-01-02 19:15:00,219,81,1337.0,1192.5,7.412697714248963e-05,7.861024844720497e-05
2021-01-02 19:30:00,199,75,1419.0,1238.0,6.882214869665029e-05,7.495510189396552e-05
2021-01-02 19:45:00,215,67,1297.0,1344.0,7.546274456949031e-05,6.790820432463771e-05
2021-01-02 20:00:00,205,62,1360.0,1458.0,7.143061230320865e-05,6.205963931338016e-05
2021-01-02 20:15:00,189,55,1431.0,1617.5,6.671731063579833e-05,5.6337393381483034e-05
2021-01-02 20:30:00,212,64,1290.5,1373.5,7.498619652679499e-05,6.628641739521309e-05
2021-01-02 20:45:00,211,73,1293.5,1234.5,7.43456962122101e-05,7.636023200958164e-05
