time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,747,384,392.5,289.0,0.00024121837560897954,0.00033831406822667045
2021-01-02 16:15:00,791,380,363.5,296.5,0.0002619189686948885,0.00034476282585757485
2021-01-02 16:30:00,788,391,364.0,281.0,0.00026366031450526545,0.00035881665753565453
2021-01-02 16:45:00,739,398,400.0,285.0,0.0002436427860470161,0.00036010571545676875
2021-01-02 17:00:00,769,388,379.5,288.0,0.000255025308525904,0.0003488201697171949
2021-01-02 17:15:00,751,362,374.5,303.5,0.0002555970130204726,0.0003401095303012225
2021-01-02 17:30:00,747,371,375.5,295.0,0.00025257383558220973,0.00035237654710875517
2021-01-02 17:45:00,762,397,395.0,259.5,0.00025498185011082683,0.0003801990059280399
2021-01-02 18:00:00,745,425,392.5,253.0,0.0002495666919248258,0.0003959706031424227
2021-01-02 18:15:00,749,424,404.0,250.0,0.0002520648961098882,0.0004059175891558733
2021-01-02 18:30:00,744,383,394.0,272.0,0.0002563670514584494,0.0003705527621660792
2021-01-02 18:45:00,718,367,409.5,291.5,0.0002475964522669904,0.00035832530274582634
2021-01-02 19:00:00,696,356,450.0,318.0,0.00023310226290050215,0.00032786432311213235
2021-01-02 19:15:00,701,366,443.0,292.0,0.0002372740227255034,0.00035520186335403727
2021-01-02 19:30:00,712,364,417.5,289.0,0.0002462380395578644,0.00036378209452537927
2021-01-02 19:45:00,681,386,412.0,262.0,0.00023902385605499023,0.00039123234133298736
2021-01-02 20:00:00,632,310,461.5,331.5,0.00022021535110062379,0.0003102981965669008
2021-01-02 20:15:00,636,340,448.5,299.0,0.00022450904531411494,0.00034826752272189504
2021-01-02 20:30:00,609,310,455.0,329.0,0.00021540846077744416,0.00032107483425806337
2021-01-02 20:45:00,606,320,462.0,306.0,0.0002135236583156366,0.00033472978415159075
2021-01-02 21:00:00,662,346,421.0,291.5,0.0002304323112047537,0.0003543009161648257
2021-01-02 21:15:00,632,315,443.0,315.5,0.0002206872662399813,0.00032727918784890297
2021-01-02 21:30:00,650,323,435.5,308.0,0.00022453132540150518,0.0003379919719058561
2021-01-02 21:45:00,572,306,494.5,320.0,0.00019856753656836415,0.0003246649902918802
2021-01-02 22:00:00,627,316,467.0,313.0,0.00021219358417299837,0.0003281954133652389
2021-01-02 22:15:00,620,280,467.0,352.5,0.00021310580049928627,0.00029679723978567
2021-01-02 22:30:00,598,300,484.0,324.0,0.00020414363792155832,0.000323398879099485
2021-01-02 22:45:00,623,297,458.0,329.5,0.0002165703803330456,0.000327026601466885
2021-01-02 23:00:00,607,294,457.0,325.0,0.00021350918705057988,0.00032480337795513065
2021-01-02 23:15:00,645,302,420.5,308.0,0.000229230312137052,0.00034013758678013594
2021-01-02 23:30:00,675,322,395.0,276.5,0.00024076857609820786,0.00036240651431336914
2021-01-02 23:45:00,589,275,439.5,333.0,0.00021604800153764557,0.0003185462245322293
2021-01-03 00:00:00,585,273,454.5,327.0,0.0002137360290622542,0.00031705144479065895
2021-01-03 00:15:00,661,270,393.0,315.0,0.00024617800271056506,0.0003241144772333588
2021-01-03 00:30:00,641,280,401.0,302.0,0.00024412546906557074,0.0003433872205993088
2021-01-03 00:45:00,626,284,410.0,308.0,0.00023575801285370763,0.00033700118781052464
2021-01-03 01:00:00,673,281,362.0,312.5,0.00026264880342590825,0.0003315117881344735
2021-01-03 01:15:00,633,274,376.0,305.0,0.0002566966186607492,0.00034906993246643385
2021-01-03 01:30:00,571,242,412.0,341.0,0.00023914797982780507,0.00031449115461138903
2021-01-03 01:45:00,623,269,338.0,289.0,0.0002708344744898269,0.0003664630458119677
2021-01-03 02:00:00,593,255,364.0,288.5,0.00025661553108163664,0.00035254252284959436
2021-01-03 02:15:00,543,242,377.0,289.0,0.00024437267778449836,0.0003505234676910063
2021-01-03 02:30:00,561,239,346.0,287.0,0.0002605499508159718,0.00035805833504372363
2021-01-03 02:45:00,527,234,371.5,282.0,0.0002475275427231599,0.00035821279370770135
2021-01-03 03:00:00,572,249,356.5,289.0,0.0002569614310775085,0.00034199444568056887
2021-01-03 03:15:00,588,238,339.0,283.5,0.0002713667886740364,0.0003607744220029953
2021-01-03 03:30:00,604,236,325.0,268.0,0.0002810429111578689,0.0003626016360094154
2021-01-03 03:45:00,600,246,315.5,266.0,0.00028496523424142257,0.00038705535835661963
2021-01-03 04:00:00,605,236,317.0,287.0,0.0002805621445150101,0.000351438889095715
2021-01-03 04:15:00,554,234,328.5,266.5,0.0002642169211384029,0.00036602705784635314
2021-01-03 04:30:00,583,249,333.5,265.5,0.00027044115307201205,0.0003756721362920406
2021-01-03 04:45:00,583,229,344.5,294.5,0.0002637025832902122,0.0003413152411414536
2021-01-03 05:00:00,588,225,356.0,316.0,0.00026126319867911013,0.00031964495259310184
2021-01-03 05:15:00,597,252,338.0,272.0,0.00026708063419347914,0.00037008426760029724
2021-01-03 05:30:00,629,257,324.5,273.0,0.00028148214445538347,0.0003702641842157963
2021-01-03 05:45:00,616,266,324.0,249.0,0.00027839039733902165,0.0003967922479325036
2021-01-03 06:00:00,631,280,319.0,256.0,0.00027650322886535954,0.00038206270194742815
2021-01-03 06:15:00,562,239,355.0,274.5,0.00024970253408084143,0.00034758176170143453
2021-01-03 06:30:00,618,255,325.0,278.5,0.00026888398787150485,0.00035220653943953583
2021-01-03 06:45:00,657,286,315.0,249.0,0.00028534895962724826,0.0004009673688268901
2021-01-03 07:00:00,622,283,358.0,287.0,0.00025220149196239516,0.0003514781332164224
2021-01-03 07:15:00,624,280,357.5,267.5,0.0002521808184964931,0.00036428971961400896
2021-01-03 07:30:00,610,272,401.0,300.0,0.0002350929850565649,0.00032834062442661105
2021-01-03 07:45:00,684,276,350.0,295.0,0.00025323691572245826,0.00033153232800559284
2021-01-03 08:00:00,754,332,338.0,274.0,0.0002607646699148123,0.0003625875206549292
2021-01-03 08:15:00,739,311,381.5,287.0,0.0002487352870889893,0.0003492412145059753
2021-01-03 08:30:00,841,379,331.0,250.0,0.0002733205653738268,0.0004003443595282486
2021-01-03 08:45:00,816,320,341.0,293.0,0.0002644176476745019,0.00033521472598291237
2021-01-03 09:00:00,824,372,379.5,314.5,0.0002469648647522694,0.0003404345665545002
2021-01-03 09:15:00,890,334,391.0,316.5,0.00025076497405005155,0.00031910177626952833
2021-01-03 09:30:00,946,378,371.5,278.5,0.0002631411318239714,0.0003582300026156476
2021-01-03 09:45:00,952,342,374.5,317.0,0.00026265909222589786,0.00031651778607840017
2021-01-03 10:00:00,1238,406,342.0,308.0,0.00030890396979028965,0.00033643583522267737
2021-01-03 10:15:00,1219,410,314.0,291.0,0.00030646505506440417,0.00034251696503235954
2021-01-03 10:30:00,1131,429,335.0,300.0,0.00028497968102433435,0.00034532693767452496
2021-01-03 10:45:00,1412,472,270.0,268.5,0.00036639655732549197,0.00039536783029338465
2021-01-03 11:00:00,1405,442,266.0,290.5,0.0003657905397454202,0.0003504779424883141
2021-01-03 11:15:00,1152,436,308.0,279.5,0.00030418949738230685,0.0003583557716649078
2021-01-03 11:30:00,1243,413,279.0,294.0,0.0003333053567775084,0.00033688132723085995
2021-01-03 11:45:00,1296,435,279.0,297.0,0.00033967765219839065,0.00033921381933705924
2021-01-03 12:00:00,1157,498,311.5,276.0,0.0003009921554732445,0.0003609692241118744
