time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,26354,11899,14.0,9.0,0.008510132624898322,0.01048333098393008
2021-01-02 16:15:00,25939,11643,14.0,9.0,0.008589021654837818,0.01056335153015722
2021-01-02 16:30:00,25449,11436,14.0,9.0,0.008515090537873733,0.010494698965671984
2021-01-02 16:45:00,25196,11376,14.0,9.0,0.008306933203302596,0.01029287090210101
2021-01-02 17:00:00,25554,11864,14.0,9.0,0.008474534114526594,0.010665985808053613
2021-01-02 17:15:00,25056,11371,14.0,9.0,0.008527614857844156,0.01068338527363315
2021-01-02 17:30:00,25141,11390,14.0,9.0,0.008500614190592148,0.010818244936842915
2021-01-02 17:45:00,25418,11510,14.0,9.0,0.00850541819700393,0.011022898131566095
2021-01-02 18:00:00,25227,11544,14.0,9.0,0.00845076367407729,0.010755493276885006
2021-01-02 18:15:00,25254,11700,14.0,9.0,0.00849886099647412,0.011201027813971032
2021-01-02 18:30:00,24434,11264,14.0,9.0,0.008419452332440527,0.010897927710283854
2021-01-02 18:45:00,24151,11086,14.0,9.0,0.00832827565278563,0.01082396268730308
2021-01-02 19:00:00,24241,11256,14.0,9.0,0.008118724073234301,0.010366406800421805
2021-01-02 19:15:00,24066,11106,14.0,9.0,0.00814584398132948,0.01077833850931677
2021-01-02 19:30:00,23178,10467,14.0,9.0,0.008015878203472163,0.010460734020321829
2021-01-02 19:45:00,23827,11012,14.0,9.0,0.008363027045847654,0.011161270836162841
2021-01-02 20:00:00,23629,10622,14.0,9.0,0.008233336283475695,0.010632217561076194
2021-01-02 20:15:00,23961,10725,14.0,9.0,0.00845827238171621,0.010985791709389191
2021-01-02 20:30:00,23701,10578,14.0,9.0,0.008383244546611173,0.010955901925102565
2021-01-02 20:45:00,23799,10394,14.0,9.0,0.00838556030404923,0.010872441801473858
2021-01-02 21:00:00,23807,10432,14.0,9.0,0.008286861076815064,0.010682275021478213
2021-01-02 21:15:00,24180,10388,14.0,9.0,0.008443383065953717,0.010792940328172712
2021-01-02 21:30:00,24071,10245,14.0,9.0,0.008314913128830202,0.010720519356580485
