time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,477,142,651.0,772.5,0.00015403101093103508,0.00012510572314632082
2021-01-02 16:15:00,479,108,628.5,984.5,0.00015860832617553935,9.798522419110022e-05
2021-01-02 16:30:00,390,106,749.5,1004.5,0.00013049178002164156,9.727510408894984e-05
2021-01-02 16:45:00,455,104,675.5,1021.0,0.00015001010507630902,9.409797589825113e-05
2021-01-02 17:00:00,476,136,638.5,802.5,0.00015785701802123578,0.00012226686361221267
2021-01-02 17:15:00,462,111,634.0,927.5,0.00015723810920833335,0.00010428772890451848
2021-01-02 17:30:00,437,120,665.5,849.0,0.00014775738440351498,0.00011397624165242757
2021-01-02 17:45:00,415,96,737.5,1055.5,0.00013886806797374423,9.193729110602475e-05
2021-01-02 18:00:00,396,120,759.0,881.5,0.00013265558389561211,0.00011180346441668405
2021-01-02 18:15:00,391,98,759.0,1028.5,0.00013158527954468128,9.382057485206506e-05
2021-01-02 18:30:00,405,99,721.0,985.0,0.0001395546449471398,9.57825677661667e-05
2021-01-02 18:45:00,409,113,707.0,880.5,0.000141040318909748,0.00011032904416969585
2021-01-02 19:00:00,744,140,424.5,775.0,0.0002491782810315713,0.00012893540796544528
2021-01-02 19:15:00,519,143,577.5,716.0,0.00017567078144727,0.00013878105590062109
2021-01-02 19:30:00,487,103,614.5,931.0,0.00016842405233803365,0.00010293833993437929
2021-01-02 19:45:00,498,126,580.5,765.0,0.00017479277579351708,0.00012770796634185597
2021-01-02 20:00:00,481,130,609.5,757.0,0.000167600607404114,0.00013012505017321647
2021-01-02 20:15:00,535,136,541.0,720.0,0.00018885587931297408,0.00013930700908875804
2021-01-02 20:30:00,546,116,515.5,814.5,0.00019312482690391543,0.00012014413152882373
2021-01-02 20:45:00,549,128,512.0,738.5,0.00019343974986020545,0.0001338919136606363
2021-01-02 21:00:00,592,166,477.0,604.0,0.00020606635684775558,0.0001699825204721418
2021-01-02 21:15:00,507,120,559.5,787.0,0.00017703867718935211,0.00012467778584720113
2021-01-02 21:30:00,635,153,451.5,625.0,0.00021934983327685507,0.00016010146037645818
2021-01-02 21:45:00,567,137,498.0,676.0,0.00019683180635360573,0.0001453565479411359
2021-01-02 22:00:00,537,138,544.0,704.0,0.0001817351749615632,0.0001433258450772246
2021-01-02 22:15:00,546,112,523.5,812.5,0.0001876705920525973,0.000118718895914268
2021-01-02 22:30:00,468,91,611.5,971.0,0.00015976458619948043,9.809765999351049e-05
2021-01-02 22:45:00,533,144,538.0,643.5,0.00018528412956262167,0.00015855835222636848
2021-01-02 23:00:00,535,117,519.5,774.5,0.00018818355036583236,0.00012925848714540918
2021-01-02 23:15:00,567,141,485.0,649.5,0.00020150943718094335,0.0001588059593907257
2021-01-02 23:30:00,504,111,538.5,781.0,0.00017977387015332856,0.0001249289536918757
2021-01-02 23:45:00,670,106,383.5,800.0,0.0002457591868085272,0.00012278509018333203
2021-01-03 00:00:00,508,125,531.0,687.0,0.00018560325258739336,0.0001451700754535984
2021-01-03 00:15:00,499,122,522.5,679.0,0.00018584390824897426,0.00014645172674988805
2021-01-03 00:30:00,546,99,471.0,799.0,0.00020794462731638317,0.0001214119101404699
2021-01-03 00:45:00,548,134,478.5,622.0,0.00020638241380803798,0.00015900760269933206
2021-01-03 01:00:00,526,152,475.0,554.5,0.00020527974829424628,0.00017932310247843403
2021-01-03 01:15:00,588,178,415.0,473.0,0.0002384480438744401,0.0002267680583176103
2021-01-03 01:30:00,531,130,441.5,606.0,0.0002223950565473984,0.00016894152933669658
2021-01-03 01:45:00,468,97,470.0,757.5,0.00020345190057983792,0.00013214466707717795
2021-01-03 02:00:00,784,135,270.0,559.5,0.00033926910011467643,0.0001866401591556676
2021-01-03 02:15:00,660,101,313.0,687.5,0.00029702756415795386,0.0001462928522181473
2021-01-03 02:30:00,540,80,363.0,829.5,0.00025079674410093545,0.00011985216235773174
2021-01-03 02:45:00,483,93,420.5,715.0,0.00022686110651856973,0.0001423666231402403
2021-01-03 03:00:00,637,125,319.0,614.5,0.00028616159369995264,0.0001716839586749844
2021-01-03 03:15:00,546,87,364.0,753.5,0.0002519834466258909,0.00013187972569017056
2021-01-03 03:30:00,624,105,313.5,622.5,0.00029034896781872545,0.00016132699907198564
2021-01-03 03:45:00,493,128,397.5,512.5,0.00023414643413503556,0.00020139465800669642
2021-01-03 04:00:00,509,149,391.0,483.5,0.00023604319265808286,0.00022188302743754887
2021-01-03 04:15:00,452,107,426.0,601.0,0.00021557048439450928,0.00016737134696393068
2021-01-03 04:30:00,477,101,419.0,671.0,0.0002212700343316462,0.00015238106733130965
2021-01-03 04:45:00,409,76,513.0,909.5,0.0001849988963391025,0.00011327492719105008
2021-01-03 05:00:00,379,98,550.0,708.0,0.00016839923860439241,0.00013922313490721773
2021-01-03 05:15:00,445,110,469.5,635.0,0.0001990802047170824,0.00016154471998425674
