time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,675,254,445.0,450.0,0.000217968411694861,0.00022378065971243307
2021-01-02 16:15:00,650,240,458.0,471.5,0.00021523050524864418,0.00021774494264688941
2021-01-02 16:30:00,631,243,469.0,450.5,0.00021112900818886108,0.00022299858767561138
2021-01-02 16:45:00,722,285,415.0,400.0,0.0002380380128903189,0.0002578646454903997
2021-01-02 17:00:00,566,221,530.0,513.0,0.0001877039331933181,0.0001986836533698456
2021-01-02 17:15:00,593,226,496.0,484.5,0.0002018229410401335,0.00021233357416595652
2021-01-02 17:30:00,540,211,539.5,501.0,0.0001825834956015974,0.00020040822490551843
2021-01-02 17:45:00,626,254,486.0,424.5,0.0002094732784375033,0.00024325074938469054
2021-01-02 18:00:00,572,204,512.0,529.0,0.00019161362118255083,0.0001900658895083629
2021-01-02 18:15:00,629,229,488.0,480.0,0.00021168066709361768,0.0002192337922563561
2021-01-02 18:30:00,562,192,522.0,555.0,0.00019365360607479643,0.000185760131425293
2021-01-02 18:45:00,602,212,480.5,498.0,0.00020759479702608385,0.00020698900322102228
2021-01-02 19:00:00,656,238,478.0,493.5,0.00021970558112461124,0.00021919019354125704
2021-01-02 19:15:00,674,218,453.5,500.5,0.00022813508033807319,0.00021156832298136648
2021-01-02 19:30:00,660,258,452.0,413.0,0.0002282543625115035,0.0002578455505152414
2021-01-02 19:45:00,552,211,518.5,485.5,0.00019374620931329604,0.0002138601658581874
2021-01-02 20:00:00,527,198,553.5,526.5,0.00018362893992093156,0.0001981904610330528
2021-01-02 20:15:00,563,239,514.0,432.5,0.00019873992533309234,0.00024481158214862623
2021-01-02 20:30:00,526,202,539.5,497.5,0.00018605065742025557,0.0002092165049036413
2021-01-02 20:45:00,445,153,633.0,629.5,0.00015679542566082226,0.00016004267804747933
2021-01-02 21:00:00,531,221,532.5,451.5,0.00018483316805094292,0.00022630203026712851
2021-01-02 21:15:00,535,219,530.5,454.5,0.00018681596113669305,0.0002275369591711421
2021-01-02 21:30:00,521,197,553.0,495.0,0.00017997049312951417,0.0002061437104193612
2021-01-02 21:45:00,475,179,597.0,532.5,0.00016489437040205062,0.0001899184093537469
2021-01-02 22:00:00,552,222,534.5,450.0,0.00018681157649680241,0.00023056766381988306
2021-01-02 22:15:00,472,185,613.5,525.5,0.00016223538360590826,0.00019609817628696053
2021-01-02 22:30:00,456,186,630.5,516.0,0.0001556680583482117,0.00020050730504168069
2021-01-02 22:45:00,452,169,624.5,555.5,0.00015712650386924017,0.00018608584393233523
2021-01-02 23:00:00,496,185,555.0,507.0,0.0001744654971615941,0.00020438307796496322
2021-01-02 23:15:00,472,193,587.0,489.0,0.00016774683306773418,0.00021737269618730544
2021-01-02 23:30:00,495,188,548.5,492.5,0.0001765636224720191,0.00021159138102768126
2021-01-02 23:45:00,487,155,547.0,576.0,0.00017863391638172052,0.00017954423564543834
2021-01-03 00:00:00,548,216,490.5,419.5,0.0002002176819249834,0.000250853890383818
2021-01-03 00:15:00,450,165,582.0,517.5,0.00016759470683775233,0.00019806995830927483
2021-01-03 00:30:00,436,179,598.0,476.0,0.0001660510210804818,0.00021952254459741528
2021-01-03 00:45:00,421,165,638.5,520.5,0.000158552912797781,0.00019579294362231185
2021-01-03 01:00:00,445,164,555.5,526.5,0.000173668228119657,0.00019348018951620516
2021-01-03 01:15:00,425,177,570.0,477.0,0.00017234765075958678,0.0002254940804618934
2021-01-03 01:30:00,408,173,579.5,473.0,0.00017087981746014794,0.00022482218904037315
2021-01-03 01:45:00,416,176,533.5,443.5,0.00018084613384874486,0.00023976764335652904
2021-01-03 02:00:00,413,145,543.5,515.5,0.00017872211523898134,0.00020046535613016145
2021-01-03 02:15:00,382,163,565.5,444.0,0.0001719159538005127,0.00023609638526295054
2021-01-03 02:30:00,317,122,661.5,559.5,0.00014722697755554918,0.00018277454759554093
2021-01-03 02:45:00,361,166,573.5,415.0,0.00016955871522402418,0.0002541167681858053
2021-01-03 03:00:00,394,131,535.0,583.5,0.00017699790881912296,0.0001799247886913837
2021-01-03 03:15:00,380,137,555.5,499.5,0.00017537309472131599,0.0002076726714891192
2021-01-03 03:30:00,332,111,617.0,597.5,0.0001544805405702193,0.000170545684733242
2021-01-03 03:45:00,382,144,530.0,463.5,0.00018142786580037235,0.0002265689902575334
2021-01-03 04:00:00,373,154,540.0,466.0,0.00017297467752743596,0.00022932876661330558
2021-01-03 04:15:00,341,112,569.0,578.5,0.0001626317149967426,0.00017519243794355359
2021-01-03 04:30:00,402,127,506.0,548.0,0.000186479148430444,0.00019160787674332992
2021-01-03 04:45:00,331,102,633.0,660.0,0.0001497179332230879,0.00015202687596693564
2021-01-03 05:00:00,309,107,685.5,652.5,0.0001372964768568793,0.00015200893301094183
2021-01-03 05:15:00,369,132,558.0,528.5,0.00016507998997888408,0.0001938536639811081
2021-01-03 05:30:00,366,144,562.0,524.5,0.00016378770249709122,0.00020746320049445395
2021-01-03 05:45:00,321,146,629.5,476.5,0.0001450703206912759,0.00021778822630881772
2021-01-03 06:00:00,357,148,582.0,530.0,0.00015643685056249346,0.00020194742817221202
2021-01-03 06:15:00,312,117,659.0,583.0,0.00013862489436516464,0.0001701550883643006
2021-01-03 06:30:00,362,143,571.5,532.5,0.00015750162396356752,0.00019751190250922988
2021-01-03 06:45:00,371,135,573.0,548.5,0.00016113312636485404,0.0001892678139567488
2021-01-03 07:00:00,433,174,526.5,491.0,0.0001755679196458475,0.0002161031631790017
2021-01-03 07:15:00,353,147,643.0,531.5,0.00014265998225843283,0.00019125210279735477
2021-01-03 07:30:00,461,183,534.0,464.0,0.00017766863296897774,0.00022090564069878607
2021-01-03 07:45:00,495,167,521.0,489.5,0.00018326355743072638,0.0002006010825251232
2021-01-03 08:00:00,422,162,656.0,581.0,0.00014594521313534585,0.00017692523598222446
2021-01-03 08:15:00,475,178,614.5,515.5,0.00015987721429941806,0.0001998872546047061
2021-01-03 08:30:00,471,200,638.5,484.0,0.00015307251639842145,0.000211263514262928
2021-01-03 08:45:00,478,167,622.0,570.0,0.00015489171027991655,0.00017494018512233242
2021-01-03 09:00:00,528,192,628.0,591.5,0.00015824933081213377,0.00017570816338296786
2021-01-03 09:15:00,489,188,725.0,572.0,0.00013777985652862383,0.00017961417346907578
2021-01-03 09:30:00,510,191,709.5,570.5,0.00014186255521165476,0.00018101039814706008
2021-01-03 09:45:00,502,215,711.0,515.5,0.00013850300871575706,0.00019898047955221065
2021-01-03 10:00:00,489,192,798.0,637.0,0.00012201457288162492,0.0001591026609920051
2021-01-03 10:15:00,524,198,773.0,599.0,0.0001317372344985626,0.00016541063189367606
2021-01-03 10:30:00,465,214,876.5,606.0,0.00011716671235748497,0.00017226098988892382
2021-01-03 10:45:00,546,228,692.5,535.5,0.00014168025516977242,0.0001909827654807028
2021-01-03 11:00:00,589,209,627.0,603.0,0.00015334564264060676,0.00016572373298655575
2021-01-03 11:15:00,549,211,665.0,582.0,0.0001449653073462556,0.00017342446748003565
2021-01-03 11:30:00,543,245,658.0,514.5,0.00014560322504439825,0.00019984485513695083
2021-01-03 11:45:00,644,281,581.5,466.5,0.00016879043828376818,0.00021912432927290493
2021-01-03 12:00:00,659,226,553.5,620.0,0.0001714380557103441,0.0001638133426692442
2021-01-03 12:15:00,684,272,529.0,488.5,0.00017849780009290237,0.00020622699374874424
2021-01-03 12:30:00,606,189,599.5,670.0,0.00015992720409244743,0.00014619034911647657
2021-01-03 12:45:00,650,249,541.5,512.0,0.0001767969025182679,0.0001964512540532864
2021-01-03 13:00:00,596,267,592.0,500.0,0.0001618965584214325,0.0002034076494989087
2021-01-03 13:15:00,635,307,572.5,437.0,0.00017128017228357738,0.00023691818065358549
2021-01-03 13:30:00,611,254,599.5,513.0,0.000163782425100367,0.0001960493735682221
2021-01-03 13:45:00,603,224,612.5,576.0,0.00016044812656190795,0.00017479516191962544
2021-01-03 14:00:00,661,304,561.0,437.5,0.00017508973680118733,0.00023208480867508585
2021-01-03 14:15:00,551,244,662.0,532.0,0.00014765333034632343,0.00019091480270441773
2021-01-03 14:30:00,576,239,643.5,539.0,0.00015353322328341993,0.00018579138969627382
2021-01-03 14:45:00,559,240,639.5,523.5,0.00015267671783840357,0.00019264698563656183
2021-01-03 15:00:00,640,311,551.0,421.0,0.0001753661521953513,0.0002437707175716361
2021-01-03 15:15:00,617,288,574.0,444.0,0.00017051391567658513,0.00022914301308740766
2021-01-03 15:30:00,643,271,546.0,471.0,0.00017802141517334942,0.00021259187145958048
2021-01-03 15:45:00,636,251,559.0,503.5,0.00017733161094894438,0.00020080594385593812
2021-01-03 16:00:00,734,309,487.5,438.0,0.00020305074055426765,0.000236816814147084
2021-01-03 16:15:00,623,243,579.5,550.5,0.00017246080530614562,0.0001882906463715695
2021-01-03 16:30:00,648,238,522.5,520.5,0.00018593910150094172,0.00019597848847885283
2021-01-03 16:45:00,573,235,589.0,515.0,0.00016561483423342444,0.0001946490560349076
2021-01-03 17:00:00,608,237,558.5,519.5,0.0001763497061079939,0.00019475941049531346
2021-01-03 17:15:00,563,221,599.5,548.0,0.0001644308836831116,0.00018514081592646643
2021-01-03 17:30:00,539,209,624.5,584.0,0.00015853701221558566,0.00017577722549526705
2021-01-03 17:45:00,531,214,638.5,555.0,0.00015628039705227505,0.00018326436655613715
2021-01-03 18:00:00,610,261,526.0,465.0,0.00018176183835711136,0.00022156780017131182
2021-01-03 18:15:00,600,230,552.0,513.0,0.00017804989076639202,0.00019901840660671886
2021-01-03 18:30:00,659,282,498.0,416.0,0.00019697000944798483,0.0002478737355802531
2021-01-03 18:45:00,529,262,629.0,458.0,0.00015912645890987846,0.00023027015435131488
2021-01-03 19:00:00,580,303,562.5,408.0,0.00017213629752037664,0.00025487586788177117
2021-01-03 19:15:00,581,226,565.5,523.5,0.00017372947241259704,0.00019823031204608768
2021-01-03 19:30:00,571,239,578.0,509.5,0.000172378555383177,0.0002077877817306723
2021-01-03 19:45:00,545,246,603.0,487.0,0.00016497758877837576,0.00021589704343918722
2021-01-03 20:00:00,547,240,574.0,481.5,0.00016818018585294103,0.00021600060480169342
2021-01-03 20:15:00,489,183,668.5,599.0,0.00014984812938052968,0.00016793643743495904
2021-01-03 20:30:00,559,209,568.0,549.5,0.00016926632284507926,0.0001904852178002512
2021-01-03 20:45:00,536,213,580.5,513.5,0.00016545941999682046,0.000199314284003204
2021-01-03 21:00:00,834,249,377.0,447.0,0.000256500787955658,0.00023118618008010743
2021-01-03 21:15:00,611,213,509.0,517.5,0.0001889497486442624,0.00019977246572682944
2021-01-03 21:30:00,625,235,488.5,455.5,0.00019848799782774736,0.00022869043100847612
2021-01-03 21:45:00,615,262,505.5,406.0,0.00019254907105248576,0.0002582384980375845
2021-01-03 22:00:00,496,164,647.5,653.0,0.00015092741243471477,0.00015651752328198158
2021-01-03 22:15:00,620,243,505.0,448.0,0.00019188683876027488,0.0002345048280973456
2021-01-03 22:30:00,610,262,514.0,429.5,0.0001884199565769221,0.0002458618725478328
2021-01-03 22:45:00,623,236,521.0,500.0,0.00019039591654241016,0.00021518396405333649
2021-01-03 23:00:00,588,240,558.0,499.5,0.0001765640103091762,0.00021869973892718665
2021-01-03 23:15:00,501,205,638.0,565.5,0.00015418145649467077,0.00018975507710535568
2021-01-03 23:30:00,559,207,554.0,524.0,0.00017722160277442163,0.0002029334172516933
2021-01-03 23:45:00,479,182,613.0,549.5,0.00015786344515382293,0.0001914658817266856
2021-01-04 00:00:00,464,146,614.5,663.0,0.00015811887608830258,0.00015723761511462732
2021-01-04 00:15:00,544,174,500.5,521.5,0.00019374930549421744,0.0002005294438304351
2021-01-04 00:30:00,467,160,546.0,550.0,0.00017240163600661698,0.00018893859023470897
2021-01-04 00:45:00,478,182,511.0,468.5,0.00018252188735268422,0.00022645857363449835
2021-01-04 01:00:00,453,152,541.5,543.0,0.0001729903618018951,0.00018856595590533988
2021-01-04 01:15:00,377,163,623.5,490.0,0.00015204678362573098,0.0002140222661938044
2021-01-04 01:30:00,520,208,424.0,369.5,0.00021710802919768982,0.0002836771099848888
2021-01-04 01:45:00,395,144,542.0,520.0,0.00016918741639678774,0.00020382050207783678
2021-01-04 02:00:00,396,144,545.0,516.5,0.0001697290036436017,0.0001999130933358137
2021-01-04 02:15:00,347,155,644.5,475.0,0.0001489333027741081,0.00021795039449021403
2021-01-04 02:30:00,314,135,730.0,530.0,0.00013609115853883172,0.00019567968250609142
2021-01-04 02:45:00,345,126,647.0,560.0,0.0001484752240039249,0.00018605530272379053
2021-01-04 03:00:00,384,166,587.5,479.5,0.0001606298026846929,0.00021810852607250926
2021-01-04 03:15:00,353,148,610.5,490.0,0.00015460939665982383,0.00021373970836083302
2021-01-04 03:30:00,346,138,625.5,519.5,0.0001526331647163295,0.0001991422452855238
2021-01-04 03:45:00,360,158,578.0,449.5,0.0001622062939646643,0.00023246096715532515
2021-01-04 04:00:00,336,144,637.5,509.0,0.00014710820728071791,0.00020043064751626064
2021-01-04 04:15:00,378,131,532.5,510.0,0.0001723137404708906,0.0001957760202770156
2021-01-04 04:30:00,336,154,601.5,443.5,0.00015382974252289017,0.00022894657814065644
2021-01-04 04:45:00,318,123,625.5,539.0,0.00014810778334346333,0.0001861797133740608
2021-01-04 05:00:00,334,156,646.0,460.0,0.00014810058779083586,0.00021793584024744098
2021-01-04 05:15:00,334,149,637.0,482.5,0.00014699397324709687,0.0002123202758738618
2021-01-04 05:30:00,345,143,602.5,522.0,0.0001511716459831722,0.0001963635664567087
2021-01-04 05:45:00,338,113,633.5,631.5,0.00014609077510232838,0.00015731960800965638
2021-01-04 06:00:00,381,164,600.5,515.5,0.00015569742228818817,0.00020466920340000475
2021-01-04 06:15:00,428,165,534.0,470.0,0.00017575305873971094,0.00021963657468109435
2021-01-04 06:30:00,401,170,604.0,492.0,0.00015761376687469588,0.0002092920757095617
2021-01-04 06:45:00,394,145,601.0,553.5,0.0001542737952645776,0.00018416978167624983
2021-01-04 07:00:00,433,173,574.0,545.5,0.00015808729704676135,0.0001919098356564037
2021-01-04 07:15:00,525,144,472.0,574.5,0.00019059941883514347,0.0001694685865260705
2021-01-04 07:30:00,462,184,569.0,497.0,0.0001582123511108767,0.0002010089776727093
2021-01-04 07:45:00,461,147,587.5,607.0,0.0001562904181090758,0.0001618832194277483
2021-01-04 08:00:00,473,175,624.0,566.5,0.00014865182536898965,0.00017264648314181083
2021-01-04 08:15:00,499,213,616.0,476.5,0.00015445277443921107,0.00021645351584531202
2021-01-04 08:30:00,546,188,582.0,561.5,0.00016130924015371058,0.00017601051569208646
2021-01-04 08:45:00,542,226,585.5,471.5,0.0001579456573686603,0.00021309516962281209
2021-01-04 09:00:00,513,238,684.5,519.5,0.00013927039686904944,0.0001961776677277845
2021-01-04 09:15:00,527,212,667.0,534.0,0.00014220686160250134,0.00018368146168855248
2021-01-04 09:30:00,510,211,725.0,559.0,0.00013428123598768722,0.00017849665213032792
2021-01-04 09:45:00,538,229,702.0,529.0,0.00013916080859155034,0.00019024689727249088
2021-01-04 10:00:00,560,247,794.5,549.0,0.00012079694055862976,0.00017829854105594605
2021-01-04 10:15:00,555,213,802.0,623.0,0.00013026123362317046,0.00016141780915867977
2021-01-04 10:30:00,565,239,751.5,578.0,0.00013239914992715704,0.0001757694140627298
2021-01-04 10:45:00,599,246,692.0,549.0,0.0001418906418739419,0.00018630943725461685
2021-01-04 11:00:00,583,229,711.0,611.0,0.00013559646863069895,0.00016064944467205063
2021-01-04 11:15:00,674,264,570.0,508.5,0.00016180146000611197,0.0001978200826348436
2021-01-04 11:30:00,651,251,589.5,516.5,0.00015802390020463002,0.00018734041544789658
2021-01-04 11:45:00,670,252,584.0,527.5,0.00016214668660506222,0.00018695235756567257
2021-01-04 12:00:00,695,322,571.5,433.0,0.00016762858137258139,0.00022528510459665567
2021-01-04 12:15:00,668,264,561.5,512.0,0.00016603686167464084,0.0001969307154477973
2021-01-04 12:30:00,650,239,586.0,571.5,0.00016188580525486305,0.00017715238292191732
2021-01-04 12:45:00,626,277,601.5,498.0,0.00015686089771040722,0.00020629812536819003
2021-01-04 13:00:00,831,304,454.0,473.0,0.0002083117125328448,0.00021412989654849373
2021-01-04 13:15:00,737,282,525.0,488.0,0.00018392381112097692,0.0002061225712986745
2021-01-04 13:30:00,669,259,563.5,529.0,0.00016868564132188017,0.00019121912900055892
2021-01-04 13:45:00,630,242,592.0,562.0,0.00016272934828962413,0.00018072095713403448
2021-01-04 14:00:00,688,300,532.5,470.5,0.0001806623533529804,0.0002183417237205721
2021-01-04 14:15:00,649,245,538.5,540.5,0.00017512515782176685,0.00018784238107468846
2021-01-04 14:30:00,725,276,487.5,484.0,0.00019692797787018452,0.00021163664135717363
2021-01-04 14:45:00,686,260,517.0,502.0,0.00018749465325925018,0.00020125505750089208
2021-01-04 15:00:00,741,323,491.0,462.0,0.00019898888938419787,0.00022781051525378306
2021-01-04 15:15:00,646,308,596.0,498.5,0.00016456347246249366,0.00021167861138830928
2021-01-04 15:30:00,698,298,560.0,498.5,0.0001780178099422692,0.00020723457284642943
2021-01-04 15:45:00,633,290,584.5,494.5,0.00016757425021774066,0.00020838542969075602
2021-01-04 16:00:00,715,306,498.0,456.0,0.00019418904887833415,0.0002255403016933212
2021-01-04 16:15:00,585,269,579.5,482.0,0.0001663926166049592,0.00021151872805689776
2021-01-04 16:30:00,580,249,583.0,508.0,0.00016497059825734166,0.00019775308026233652
2021-01-04 16:45:00,847,350,410.0,395.5,0.00023977210609646762,0.00026980587082157427
2021-01-04 17:00:00,859,307,412.0,448.5,0.00023811378401610635,0.00023142476998865488
2021-01-04 17:15:00,651,267,524.0,483.5,0.0001850382767734896,0.000214200790376849
2021-01-04 17:30:00,603,222,564.5,553.5,0.00017337949119013664,0.0001816306009927503
2021-01-04 17:45:00,645,258,550.0,471.5,0.00018537726860821333,0.0002177976103043595
2021-01-04 18:00:00,618,257,535.5,478.0,0.00018065590370631082,0.0002164174077068176
2021-01-04 18:15:00,596,234,561.0,501.5,0.0001765379835096936,0.00020456834331113969
2021-01-04 18:30:00,560,242,612.0,495.0,0.0001640102377533409,0.00021079092762815783
2021-01-04 18:45:00,626,249,539.0,467.0,0.00018505609919479906,0.0002179282289699259
2021-01-04 19:00:00,645,279,507.0,429.5,0.00019400497555086132,0.0002411560971435536
2021-01-04 19:15:00,605,240,544.0,492.5,0.0001823879557626304,0.0002154762204034433
2021-01-04 19:30:00,678,309,478.0,372.5,0.00020688695550282688,0.00027728149276151734
2021-01-04 19:45:00,516,183,617.5,610.0,0.0001582558973324067,0.0001655362560583556
2021-01-04 20:00:00,624,253,504.0,461.5,0.00019219473762184267,0.0002243410977816833
2021-01-04 20:15:00,510,210,611.5,536.0,0.00015838666719669264,0.00019369066494005275
2021-01-04 20:30:00,566,237,557.5,492.0,0.00017238590930978326,0.00021446022984345308
2021-01-04 20:45:00,623,269,515.5,425.5,0.000187673892061304,0.0002464125899428854
2021-01-04 21:00:00,517,210,601.0,532.0,0.00016027638220553943,0.0001929375663222884
2021-01-04 21:15:00,678,251,462.0,440.5,0.00020823063846646427,0.00023469064313651425
2021-01-04 21:30:00,634,236,500.0,473.0,0.00019350595244453872,0.00022339895835502642
2021-01-04 21:45:00,653,258,476.0,421.0,0.0002017571097753328,0.0002457440090372836
2021-01-04 22:00:00,824,333,380.0,336.5,0.00024644884855449075,0.00030704403269604023
2021-01-04 22:15:00,669,249,474.5,448.5,0.0002010877373752069,0.00023519388382555606
2021-01-04 22:30:00,743,253,430.0,453.5,0.00022498598001228189,0.0002387362266654211
2021-01-04 22:45:00,679,234,461.5,468.0,0.0002100054125106317,0.0002278166017941044
2021-01-04 23:00:00,579,234,523.5,457.0,0.00018388208426372687,0.00023412010361315355
2021-01-04 23:15:00,625,227,479.0,450.5,0.00020349920960906987,0.0002351354514859628
2021-01-04 23:30:00,595,204,500.0,487.0,0.00019403266401303896,0.0002157606833267759
2021-01-04 23:45:00,592,198,483.5,483.0,0.0001991749045003435,0.00021525412488870383
2021-01-05 00:00:00,588,196,470.0,493.5,0.00020126557711706231,0.00021611322568836476
2021-01-05 00:15:00,489,198,556.0,470.5,0.00017005880069943203,0.000223514643595741
2021-01-05 00:30:00,486,164,574.0,545.5,0.00017185648498324396,0.00019187435505647424
2021-01-05 00:45:00,477,189,550.0,467.0,0.00017526023573052839,0.0002302435221167785
2021-01-05 01:00:00,538,239,470.0,357.5,0.0002020217192123406,0.0002899669025225908
2021-01-05 01:15:00,426,178,595.5,471.5,0.0001637173838269515,0.00022637986796203438
2021-01-05 01:30:00,471,184,516.5,440.0,0.00018643844384462195,0.0002387254138772121
2021-01-05 01:45:00,405,124,585.5,606.5,0.00016572415317003708,0.00017082030943272504
2021-01-05 02:00:00,422,139,541.0,551.5,0.00017403518727547088,0.00018719000863228746
2021-01-05 02:15:00,373,112,607.0,670.0,0.00015637491913991276,0.00015381720747606562
2021-01-05 02:30:00,378,118,576.0,618.0,0.00016233361877710393,0.00016664430620185144
2021-01-05 02:45:00,408,137,520.5,533.5,0.00017908694627347718,0.00019671641533871117
2021-01-05 03:00:00,376,131,602.5,637.0,0.0001576234409532529,0.00016520087669961436
2021-01-05 03:15:00,313,111,689.5,644.5,0.00013636163628735624,0.00015370171896679212
2021-01-05 03:30:00,395,125,538.5,571.0,0.00017457143816812246,0.00017869779343964657
2021-01-05 03:45:00,381,133,557.5,524.5,0.00016743366814207518,0.0001901537528916238
2021-01-05 04:00:00,369,129,609.0,575.5,0.00015989648760715556,0.00017617728077878552
2021-01-05 04:15:00,350,118,607.0,585.5,0.00015551056116652474,0.00016884785663386057
2021-01-05 04:30:00,383,143,560.5,508.0,0.00016852417265851504,0.0002029419486684596
2021-01-05 04:45:00,346,155,628.0,473.0,0.0001514215242633299,0.0002201072987580268
2021-01-05 05:00:00,420,158,523.0,493.5,0.00017757611144676754,0.00020873792821000624
2021-01-05 05:15:00,374,133,582.5,553.5,0.00016008163307235177,0.00018398653163254156
2021-01-05 05:30:00,404,126,543.5,636.0,0.00016992625032492085,0.00016448849951240907
2021-01-05 05:45:00,411,169,552.0,484.0,0.00016901616962479232,0.00021321638813961765
2021-01-05 06:00:00,361,120,704.0,730.5,0.0001299199067167872,0.00012470693869406894
2021-01-05 06:15:00,465,145,527.0,552.0,0.00017375597262801612,0.00016460101848299162
2021-01-05 06:30:00,428,128,614.0,677.0,0.00015708675997179778,0.0001438218406948393
2021-01-05 06:45:00,441,170,564.0,494.5,0.00016432861699023754,0.00020044900577293137
2021-01-05 07:00:00,510,181,527.0,531.5,0.00018384639093312858,0.00019734919686509165
2021-01-05 07:15:00,433,148,610.5,605.5,0.0001547478093178195,0.00016791906301162843
2021-01-05 07:30:00,557,182,498.0,542.5,0.00018752611309541642,0.0001881012522169076
2021-01-05 07:45:00,509,173,548.0,541.5,0.00017074102611666812,0.0001841375603369824
2021-01-05 08:00:00,538,203,565.0,516.5,0.00016752233838765042,0.00019371060780281599
2021-01-05 08:15:00,675,200,457.5,517.0,0.00020621202261916766,0.00019542376177061744
2021-01-05 08:30:00,597,185,542.5,584.5,0.00017549914367000753,0.00016997333715543648
2021-01-05 08:45:00,541,216,631.0,518.0,0.00015335992894984732,0.00019523411824679763
2021-01-05 09:00:00,617,224,558.0,577.0,0.00016759395651303526,0.00017655019345645082
2021-01-05 09:15:00,581,206,595.0,565.0,0.00015948332891391577,0.00017637771544623562
2021-01-05 09:30:00,637,229,551.0,532.0,0.00017177358246345432,0.0001891722433928083
2021-01-05 09:45:00,613,235,603.5,559.0,0.00016222639182569528,0.00018750767983582306
2021-01-05 10:00:00,661,291,674.0,509.5,0.00014815588509468864,0.00020722156471508104
2021-01-05 10:15:00,579,211,695.5,641.5,0.00014240095386504226,0.00015515173619204696
2021-01-05 10:30:00,608,252,675.5,578.5,0.0001482677305526631,0.0001801907447741109
2021-01-05 10:45:00,696,262,577.0,545.0,0.0001690608451439094,0.0001930888916402828
2021-01-05 11:00:00,692,291,585.0,500.5,0.0001652905195854934,0.0002010800277780657
2021-01-05 11:15:00,668,280,574.0,494.5,0.00016311600404859782,0.00020146348834030058
2021-01-05 11:30:00,693,259,554.0,539.0,0.00017214641238679138,0.000187845592373614
2021-01-05 11:45:00,681,268,577.0,527.5,0.00016749207548506296,0.0001884799374359133
2021-01-05 12:00:00,604,241,643.5,597.5,0.00014830492868349912,0.000165196350600122
2021-01-05 12:15:00,637,254,596.0,552.5,0.00015919993162150502,0.00018220672428894544
2021-01-05 12:30:00,707,309,541.0,450.5,0.0001771137029890881,0.00022246092175135057
2021-01-05 12:45:00,619,255,604.0,532.5,0.00015711756531229968,0.0001867391751694017
2021-01-05 13:00:00,634,291,583.0,489.0,0.00016161941635506918,0.00020533967839995936
2021-01-05 13:15:00,634,280,598.0,489.0,0.00016133226864214722,0.0002059900433241202
2021-01-05 13:30:00,699,318,523.0,436.0,0.000183310220685575,0.00023621924414298843
