time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,592,43,508.5,2283.5,0.00019116636996052995,3.788412743163236e-05
2021-01-02 16:15:00,522,72,578.5,1406.0,0.00017284665190737275,6.532348279406681e-05
2021-01-02 16:30:00,542,45,547.0,2117.0,0.00018135011479930696,4.129603475474285e-05
2021-01-02 16:45:00,554,63,556.0,1596.0,0.00018264966640060482,5.700165847682521e-05
2021-01-02 17:00:00,538,71,557.5,1424.5,0.00017841822625089252,6.383049497402279e-05
2021-01-02 17:15:00,547,61,528.0,1572.5,0.0001861671985648449,5.7311274443023666e-05
2021-01-02 17:30:00,570,54,505.0,1760.0,0.0001927270231350195,5.12893087435924e-05
2021-01-02 17:45:00,514,55,600.0,1693.5,0.00017199563117711937,5.267240636282669e-05
2021-01-02 18:00:00,519,47,567.5,1997.0,0.00017385921222682496,4.378969022986792e-05
2021-01-02 18:15:00,568,112,544.0,907.5,0.00019115201734368025,0.00010722351411664578
2021-01-02 18:30:00,517,50,566.5,1846.5,0.00017814753441400315,4.837503422533672e-05
2021-01-02 18:45:00,498,61,579.0,1527.0,0.000171731244051478,5.955815658718095e-05
2021-01-02 19:00:00,537,85,578.5,1219.0,0.00017985045284133573,7.828221197902036e-05
2021-01-02 19:15:00,481,38,625.5,2325.5,0.00016280856623533116,3.6878881987577646e-05
2021-01-02 19:30:00,454,49,647.5,1824.5,0.00015701133421245847,4.897066657072413e-05
2021-01-02 19:45:00,484,38,607.0,2226.0,0.00016987892265875958,3.851510096024228e-05
2021-01-02 20:00:00,511,57,573.0,1583.0,0.00017805386774116892,5.705482969133337e-05
2021-01-02 20:15:00,589,85,489.0,1088.5,0.0002079179680660593,8.706688068047376e-05
2021-01-02 20:30:00,543,58,519.0,1506.5,0.00019206370148136642,6.0072065764411864e-05
2021-01-02 20:45:00,477,49,577.5,1747.5,0.00016807060233755557,5.125549819821234e-05
2021-01-02 21:00:00,454,48,625.5,1826.0,0.000158030618258245,4.91515721847157e-05
2021-01-02 21:15:00,500,50,571.5,1723.5,0.0001745943562025169,5.194907743633381e-05
2021-01-02 21:30:00,497,44,579.0,1927.0,0.00017168010573007396,4.6042250042903006e-05
2021-01-02 21:45:00,545,55,514.5,1547.0,0.00018919459340866862,5.8354818516514405e-05
2021-01-02 22:00:00,489,65,596.5,1374.5,0.00016549069004879774,6.750855021753332e-05
2021-01-02 22:15:00,482,78,594.5,1132.0,0.00016567257393654188,8.267923108315093e-05
