time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2421,1561,124.0,78.0,0.0007817800366122349,0.0013752819283901886
2021-01-02 16:15:00,2320,1456,132.0,82.0,0.0007682073418105455,0.001320985985391129
2021-01-02 16:30:00,2329,1458,125.0,83.0,0.0007792701427446236,0.0013379915260536685
2021-01-02 16:45:00,2184,1395,137.0,87.0,0.0007200485043662832,0.0012621795805582725
2021-01-02 17:00:00,2342,1441,127.0,83.0,0.000776683059255744,0.0012954893416558706
2021-01-02 17:15:00,2095,1304,140.0,92.0,0.0007130169670810788,0.0012251459323557846
2021-01-02 17:30:00,2143,1333,141.0,83.5,0.0007245859834707838,0.001266086084355716
2021-01-02 17:45:00,2148,1434,144.0,80.0,0.0007187677349580786,0.001373313285896245
2021-01-02 18:00:00,1826,1199,164.0,97.0,0.0006116896368519892,0.0011171029486300348
2021-01-02 18:15:00,1882,1158,165.0,101.0,0.0006333593250718418,0.0011086145477417484
2021-01-02 18:30:00,1951,1227,151.0,93.0,0.00067227435133795,0.001187123339889763
2021-01-02 18:45:00,1841,1117,157.0,102.0,0.0006348538560216285,0.0010905977198013297
2021-01-02 19:00:00,2016,1312,144.5,92.0,0.0006751927615049028,0.0012083089660761732
2021-01-02 19:15:00,1983,1132,143.0,103.0,0.000671204546454598,0.0010986024844720497
2021-01-02 19:30:00,1822,1079,153.0,102.0,0.0006301203765090293,0.0010783540659145172
2021-01-02 19:45:00,1704,995,164.0,105.0,0.0005980861244019139,0.0010084875119852914
2021-01-02 20:00:00,1867,1030,148.0,103.0,0.0006505412349760517,0.0010309907821416382
2021-01-02 20:15:00,1664,932,167.0,110.0,0.0005873947349098857,0.0009546627387553124
2021-01-02 20:30:00,1720,984,161.0,107.0,0.000608378575594752,0.001019153667451401
2021-01-02 20:45:00,1749,1024,157.0,100.0,0.0006162588752377037,0.0010711353092850903
2021-01-02 21:00:00,1727,1029,159.0,103.0,0.0006011429024933683,0.001053686828709843
2021-01-02 21:15:00,1733,995,158.0,106.0,0.0006051440385979235,0.0010337866409830428
2021-01-02 21:30:00,1636,944,173.0,108.0,0.0005651280743951731,0.0009878155463750099
2021-01-02 21:45:00,1756,1089,159.0,93.0,0.0006095884514231599,0.0011554254066269856
2021-01-02 22:00:00,1895,1166,154.0,88.0,0.0006413187272852183,0.0012109995315945207
2021-01-02 22:15:00,1686,937,169.0,115.0,0.0005795102897448333,0.0009932107631399026
2021-01-02 22:30:00,1851,1112,151.0,90.0,0.0006318894210582014,0.0011987318451954245
2021-01-02 22:45:00,2089,1393,135.0,66.0,0.0007261886428823952,0.0015338318378564672
2021-01-02 23:00:00,1931,1263,147.0,76.0,0.0006792195060867706,0.0013953287971337758
2021-01-02 23:15:00,1531,942,174.0,105.0,0.0005441110199718242,0.00106095896273804
2021-01-02 23:30:00,1601,971,170.0,98.5,0.0005710673930862678,0.0010928469732865882
2021-01-02 23:45:00,1657,972,159.0,95.0,0.0006077954814055665,0.001125916109983007
2021-01-03 00:00:00,1895,1038,140.0,89.0,0.0006923585898683276,0.0012054923065666812
2021-01-03 00:15:00,1664,1005,155.0,91.0,0.0006197279826178219,0.0012064261097019468
2021-01-03 00:30:00,1701,1006,147.0,86.0,0.0006478274927933477,0.001233741228296088
2021-01-03 00:45:00,1598,899,174.5,117.5,0.0006018231701920523,0.0010667748867664144
2021-01-03 01:00:00,1800,1001,145.0,109.0,0.0007024782261019835,0.0011809370104007401
2021-01-03 01:15:00,1632,906,146.0,94.0,0.0006618149789168133,0.0011542239372795222
2021-01-03 01:30:00,1615,876,145.0,97.0,0.0006763992774464189,0.0011384059976842016
2021-01-03 01:45:00,1889,1080,112.0,71.0,0.0008211979491352861,0.00147130144786961
2021-01-03 02:00:00,1668,870,130.0,86.0,0.0007218123201419392,0.0012027921367809688
2021-01-03 02:15:00,2115,1094,95.0,65.0,0.0009518383305970793,0.0015845978250163676
2021-01-03 02:30:00,1844,942,107.0,76.0,0.0008564244372631946,0.0014112592117622913
2021-01-03 02:45:00,1832,913,107.0,72.0,0.0008604752528820284,0.001397642225021929
2021-01-03 03:00:00,1859,1005,113.0,75.0,0.0008351246510019026,0.0013803390277468744
2021-01-03 03:15:00,1904,1062,103.0,64.0,0.0008787115061825939,0.0016098421687696682
2021-01-03 03:30:00,1782,932,114.0,70.0,0.0008291696484823218,0.0014319691727151488
2021-01-03 03:45:00,1659,921,112.0,71.0,0.0007879288726775332,0.0014490975001888074
2021-01-03 04:00:00,1791,990,108.0,71.5,0.0008305566955807986,0.0014742563567998212
2021-01-03 04:15:00,1794,970,106.0,66.0,0.0008556049756720124,0.0015172916500468484
2021-01-03 04:30:00,1740,965,118.0,68.0,0.0008071485529078918,0.0014559181185615224
2021-01-03 04:45:00,1629,917,125.0,75.0,0.0007368293450767678,0.0013667514241341176
2021-01-03 05:00:00,1916,1059,110.5,68.0,0.000851327021546216,0.0015044622435381994
2021-01-03 05:15:00,1888,1052,110.0,66.0,0.0008446369134962957,0.0015449549583948913
2021-01-03 05:30:00,1817,997,114.0,72.0,0.0008131209164951223,0.0014363945200900733
2021-01-03 05:45:00,2020,1098,101.0,63.0,0.0009129035756896488,0.0016378867978567252
2021-01-03 06:00:00,1803,1010,117.0,72.0,0.0007900718251097358,0.001378154746310366
2021-01-03 06:15:00,1659,960,126.0,74.0,0.0007371112171532312,0.0013961443147840046
2021-01-03 06:30:00,1872,1083,110.0,70.0,0.0008144835360767912,0.0014958418910314404
2021-01-03 06:45:00,1933,1062,109.0,66.0,0.0008395426772594686,0.0014889068031264238
2021-01-03 07:00:00,1871,1117,130.0,72.0,0.0007586318190701631,0.0013872829498330168
2021-01-03 07:15:00,1870,1172,130.0,70.0,0.0007557341836353238,0.0015248126835272092
2021-01-03 07:30:00,2017,1135,124.0,82.0,0.0007773484440312974,0.0013700978261919248
2021-01-03 07:45:00,2124,1246,123.0,78.0,0.0007863672646118441,0.0014967002923730749
2021-01-03 08:00:00,2126,1167,130.0,83.0,0.0007352595334733301,0.0012745169777238024
2021-01-03 08:15:00,2210,1264,123.0,70.0,0.0007438497760036081,0.0014194241001143175
2021-01-03 08:30:00,2042,1236,142.0,77.0,0.0006636392324534536,0.0013056085181448948
2021-01-03 08:45:00,2432,1404,115.0,68.0,0.0007880682832651821,0.0014707546102500286
2021-01-03 09:00:00,2299,1356,137.0,83.0,0.0006890439612444991,0.0012409389038922105
2021-01-03 09:15:00,2416,1390,149.0,77.0,0.0006807282891066567,0.001327998410223486
2021-01-03 09:30:00,2295,1328,163.5,84.0,0.0006383814984524465,0.0012585435012528574
2021-01-03 09:45:00,2581,1551,140.0,73.0,0.0007121041145326075,0.0014354359245836218
2021-01-03 10:00:00,2350,1397,214.0,93.0,0.00058636860178286,0.0011576375906553705
2021-01-03 10:15:00,2585,1507,159.5,89.0,0.0006498869297305043,0.0012589586983018676
2021-01-03 10:30:00,2688,1549,144.5,87.0,0.0006772991888535903,0.0012468797819530052
2021-01-03 10:45:00,2735,1638,134.0,77.5,0.0007096987140830174,0.0013720603941113649
2021-01-03 11:00:00,2716,1591,135.0,82.0,0.0007071082604616093,0.0012615620056536374
2021-01-03 11:15:00,2616,1559,144.0,82.0,0.000690763650305655,0.0012813684587742913
2021-01-03 11:30:00,2722,1652,130.0,79.0,0.0007298931465393224,0.0013475253089234398
2021-01-03 11:45:00,3308,2336,106.0,62.0,0.0008670167233582378,0.0018216171999341849
2021-01-03 12:00:00,3738,2524,96.0,61.0,0.0009724361946058668,0.0018294906057397008
2021-01-03 12:15:00,3409,2235,106.0,64.0,0.000889618421808047,0.0016945490111339831
2021-01-03 12:30:00,3551,2418,99.0,61.0,0.0009371311909773613,0.0018703082759980968
2021-01-03 12:45:00,3275,2114,106.0,65.0,0.0008907843934574265,0.0016678632573038053
2021-01-03 13:00:00,2927,1925,122.0,73.0,0.000795085950502572,0.0014665158250389485
2021-01-03 13:15:00,3203,2015,111.0,70.0,0.000863953372951651,0.0015550167231823285
2021-01-03 13:30:00,3338,2047,104.0,69.0,0.000894772070351923,0.001579972707457286
2021-01-03 13:45:00,2883,1729,130.0,80.0,0.0007671176598308138,0.001349200156067109
2021-01-03 14:00:00,2965,1816,131.0,79.0,0.0007853873973003335,0.0013864013570853812
2021-01-03 14:15:00,3032,1782,123.0,80.0,0.0008124952769692426,0.0013943040099150508
2021-01-03 14:30:00,2977,1951,125.0,75.0,0.0007935215376992035,0.0015166485409934321
2021-01-03 14:45:00,2800,1727,130.0,79.0,0.0007647492127862791,0.0013862556008097597
2021-01-03 15:00:00,2647,1589,139.0,87.0,0.0007253034450954609,0.001245503762769549
2021-01-03 15:15:00,2885,1843,126.0,75.0,0.0007972976446141784,0.0014663561566669876
2021-01-03 15:30:00,2661,1751,138.0,81.0,0.0007367262609273449,0.0013736102100580273
2021-01-03 15:45:00,2582,1623,140.0,83.0,0.0007199217287266892,0.0012984384337776395
2021-01-03 16:00:00,2671,1747,136.0,80.5,0.0007388944523439359,0.0013388963570063288
2021-01-03 16:15:00,3042,1898,116.0,74.0,0.0008420959385895585,0.0014706816741285552
2021-01-03 16:30:00,2775,1712,123.0,79.0,0.0007962669855943107,0.0014097276146041852
2021-01-03 16:45:00,2406,1505,144.0,89.0,0.0006954088851057926,0.0012465822524788765
2021-01-03 17:00:00,2258,1476,157.0,92.0,0.0006549303230129115,0.0012129320248568886
2021-01-03 17:15:00,2249,1467,159.0,92.0,0.0006568473488513641,0.0012289664116023813
2021-01-03 17:30:00,2230,1331,159.0,97.0,0.0006559137982203265,0.001119423383417227
2021-01-03 17:45:00,2172,1346,165.0,96.0,0.0006392486297505487,0.0011526814831054233
2021-01-03 18:00:00,2596,1473,126.0,87.0,0.0007735307088115754,0.0012504573549898172
2021-01-03 18:15:00,2026,1195,167.0,107.0,0.000601215131154517,0.001034030416934909
2021-01-03 18:30:00,2099,1224,165.0,102.0,0.0006273748859352353,0.0010758774906036515
2021-01-03 18:45:00,2032,1109,170.0,112.5,0.0006112381181566599,0.0009746931342580466
2021-01-03 19:00:00,2239,1402,156.0,93.0,0.0006645054657726262,0.0011793266230041032
2021-01-03 19:15:00,1816,1131,179.5,113.0,0.0005430167330486682,0.0009920286855049788
2021-01-03 19:30:00,2130,1325,158.0,96.0,0.0006430233326903099,0.0011519615514357356
2021-01-03 19:45:00,1864,1029,174.0,121.5,0.0005642536247392522,0.0009030815353614784
2021-01-03 20:00:00,1967,1245,165.0,95.5,0.0006047722588167003,0.0011205031374087848
2021-01-03 20:15:00,2126,1224,154.0,98.0,0.0006514869592290513,0.0011232469913682506
2021-01-03 20:30:00,2202,1197,153.0,99.0,0.0006667700230856251,0.001090960792855984
2021-01-03 20:45:00,2209,1184,146.0,100.0,0.0006819027215913739,0.0011079254096703923
2021-01-03 21:00:00,1816,1142,168.0,102.0,0.0005585197013518883,0.0010602996692830628
2021-01-03 21:15:00,1889,1125,168.0,105.0,0.000584167062502474,0.0010551362626417047
2021-01-03 21:30:00,1874,1028,166.0,106.0,0.0005951464126867178,0.001000398991815802
2021-01-03 21:45:00,2295,1162,139.0,96.0,0.0007185367773422031,0.0011453173080903556
2021-01-03 22:00:00,2273,1179,141.0,94.0,0.0006916492106131182,0.0011252082923747335
2021-01-03 22:15:00,1987,979,161.0,113.0,0.0006149663687365582,0.0009447745955032976
2021-01-03 22:30:00,2018,1116,156.0,100.0,0.0006233302825774244,0.0010472589685625244
2021-01-03 22:45:00,2463,1539,130.0,79.0,0.0007527209349020164,0.0014032547486359525
2021-01-03 23:00:00,2140,1147,152.0,105.0,0.0006425969082680902,0.0010452025022895128
2021-01-03 23:15:00,2178,1211,148.0,100.0,0.0006702738767373111,0.0011209434067052963
2021-01-03 23:30:00,2097,1202,151.0,93.0,0.0006648187853630807,0.0011783863166016204
2021-01-03 23:45:00,1881,1071,157.0,94.0,0.0006199188733493548,0.0011267030732378038
2021-01-04 00:00:00,1942,1089,150.5,92.5,0.0006617820201799215,0.0011728202935604734
2021-01-04 00:15:00,1867,1074,148.0,88.0,0.0006649447672016617,0.0012377507050223403
2021-01-04 00:30:00,1955,991,134.0,91.0,0.0007217241935608911,0.0011702383932662287
2021-01-04 00:45:00,1699,910,150.0,95.0,0.0006487545745025324,0.0011322928681724918
2021-01-04 01:00:00,1776,987,148.0,85.0,0.0006782138687862378,0.001224438147885332
2021-01-04 01:15:00,1449,848,165.0,95.0,0.0005843920145190563,0.0011134409922229822
2021-01-04 01:30:00,1709,856,133.0,92.0,0.0007135338882670228,0.0011674404141685806
2021-01-04 01:45:00,1645,931,134.0,81.0,0.0007045906328423186,0.0013177561627393474
2021-01-04 02:00:00,1667,815,133.0,92.0,0.0007144905279643535,0.00113145257686589
2021-01-04 02:15:00,1575,882,140.5,86.0,0.0006759940976058219,0.0012402080512281856
2021-01-04 02:30:00,1634,830,132.0,85.0,0.0007081941180014362,0.0012030676776300436
2021-01-04 02:45:00,1639,805,131.0,87.0,0.0007053649047606751,0.0011886866562908845
2021-01-04 03:00:00,1725,1013,129.0,75.0,0.0007215791917476439,0.0013309875717557342
2021-01-04 03:15:00,1590,798,137.0,86.5,0.0006963992654082717,0.0011524614004861135
2021-01-04 03:30:00,1560,836,139.0,83.0,0.0006881726501661099,0.0012063979497007097
2021-01-04 03:45:00,1681,953,119.0,73.0,0.0007574132782072238,0.001402122162652056
2021-01-04 04:00:00,1559,884,135.0,82.0,0.000682564568900712,0.0012304214750303779
2021-01-04 04:15:00,1439,735,142.0,92.0,0.000655977440575692,0.0010984379763634082
2021-01-04 04:30:00,1641,870,119.5,79.0,0.000751293474643044,0.0012933994998855266
2021-01-04 04:45:00,1626,1035,116.0,65.0,0.0007573058355863881,0.0015666341735134386
2021-01-04 05:00:00,1666,958,121.0,72.0,0.0007387292792201572,0.0013383495830580029
2021-01-04 05:15:00,1554,893,138.0,87.0,0.0006839180671436783,0.0012724966869487155
2021-01-04 05:30:00,1631,932,127.0,87.0,0.0007146694336189965,0.0012797961114521155
2021-01-04 05:45:00,1810,1059,110.0,68.0,0.0007823204228852496,0.0014743492467453635
2021-01-04 06:00:00,1884,1054,116.0,74.0,0.0007699053637557652,0.001315374026729299
2021-01-04 06:15:00,1848,1021,114.5,73.0,0.0007588590012873501,0.001359084501511499
2021-01-04 06:30:00,1905,1050,118.0,79.0,0.0007487636556017347,0.0012926863499708222
2021-01-04 06:45:00,1637,972,143.0,81.0,0.0006409802102743999,0.0012345726054435507
2021-01-04 07:00:00,1954,1030,126.0,86.0,0.0007134008739708353,0.0011425845706710745
2021-01-04 07:15:00,2011,1116,125.0,77.0,0.0007300865357666162,0.0013133815455770464
2021-01-04 07:30:00,1844,1103,146.0,83.0,0.000631479600537785,0.0012049614259402085
2021-01-04 07:45:00,1947,1158,141.0,80.0,0.0006600812235539492,0.0012752433203900176
2021-01-04 08:00:00,2216,1333,129.0,76.0,0.0006964322304813552,0.0013150729258744793
