279066631451502998554337906829144231884,,root,0,,,10.245.195.5,1583172727.1033268
298590120374138634617624944683889679291,happy birthday,api,2,en,[counts],10.245.195.5,"['lang', 'metric']",1583172729.507856
55445194088160695067850792804034094233,happy birthday,api,2,en,"['rank', 'counts', 'freq']",10.245.195.5,['lang'],1583172740.7558951
197338846547304534077144976905233347952,happy birthday,api,2,en,"['rank', 'counts', 'freq']",10.245.195.5,['lang'],1583172864.9225914
295236540062982407001841493131680952819,happy birthday,api,2,en,"['rank', 'counts', 'freq']",10.245.195.5,['lang'],1583172949.5382946
109311634961516597452925572095824328092,happy birthday,api,2,en,"['rank', 'rank_noRT', 'counts', 'count_noRT', 'freq', 'freq_noRT']",10.245.195.5,['lang'],1583173029.7062857
317346623688208272187569432306575124828,happy birthday,api,2,en,"['rank', 'rank_noRT', 'counts', 'count_noRT', 'freq', 'freq_noRT']",10.245.195.5,['lang'],1583173106.7481952
185819971814589237209212171434286384316,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173518.1993713
186920714650461338038633003101056851461,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173519.5906084
82097853612103144008989143390191192543,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173521.2191217
77943665569312577668126634877739125175,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173522.8278093
209610002377435050431137446541883876862,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173525.049803
295152417355608703132292324768693223049,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583173527.1093254
207404091167067962299947010124213915126,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174273.5461166
80504564698100058901675586134444315077,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174274.198928
206657578973688449982045241708539790190,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174275.0089977
191127811435296665039624075274165821357,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174276.402763
78405108159538281696708458030271535510,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174277.4018862
281142890649098621684541951725426271481,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174278.3262744
148556195532472881045860163774626448781,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174408.1563714
83824433143973469223115043133663419601,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174408.6683023
93942676287055426425001506740503480051,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174409.276276
35559175849240098225528072817437218580,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174410.0739565
83218297351650491749819679648457462004,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174410.9068127
335672168571800748630495815430117761602,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174411.6375403
3963289946989835386834660186427915332,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174414.7695718
330032096972175387936918069982273061027,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174415.2360744
246723369804737891153078407960546511362,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174415.7643003
192650760148969837135982111644616808950,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174416.43162
189213628466347460478290831073780266801,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174417.120099
310611996654138511449646306614804800409,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174417.738682
93707815339660399135619259589527922199,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174564.9983902
246786133040309621028707489436012324745,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174565.3839414
255893997836559340525900617809137248984,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174565.9121747
112194985606370033417700231724134773780,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174566.5798492
198522344506825678600024217765263875485,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174567.2036366
30993593929252956682397779507219066988,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583174567.5185318
